date,open,high,low,close,volume
2022-04-11T15:40:00.000Z,39.3,39.43,39.295,39.37,5411.0
2022-04-11T15:50:00.000Z,39.395,39.395,39.28,39.245,3610.0
2022-04-11T16:00:00.000Z,39.235,39.285,39.2,39.275,6633.0
2022-04-11T16:10:00.000Z,39.275,39.28,39.16,39.17,13779.0
2022-04-11T16:20:00.000Z,39.175,39.185,39.09,39.07,29313.0
2022-04-11T16:30:00.000Z,39.075,39.26,39.065,39.25,14700.0
2022-04-11T16:40:00.000Z,39.265,39.265,39.205,39.24,3355.0
2022-04-11T16:50:00.000Z,39.255,39.26,39.0,39.02,11147.0
2022-04-11T17:00:00.000Z,39.025,39.21,39.01,39.18,2477.0
2022-04-11T17:10:00.000Z,39.18,39.29,39.175,39.3,4178.0
2022-04-11T17:20:00.000Z,39.3,39.32,39.22,39.29,3466.0
2022-04-11T17:30:00.000Z,39.29,39.325,39.26,39.305,2946.0
2022-04-11T17:40:00.000Z,39.305,39.42,39.285,39.42,3763.0
2022-04-11T17:50:00.000Z,39.415,39.42,39.32,39.38,5250.0
2022-04-11T18:00:00.000Z,39.375,39.395,39.34,39.395,3823.0
2022-04-11T18:10:00.000Z,39.395,39.465,39.37,39.455,4563.0
2022-04-11T18:20:00.000Z,39.455,39.49,39.4,39.44,3302.0
2022-04-11T18:30:00.000Z,39.415,39.505,39.385,39.495,2624.0
2022-04-11T18:40:00.000Z,39.5,39.535,39.475,39.51,2880.0
2022-04-11T18:50:00.000Z,39.505,39.55,39.5,39.535,5057.0
2022-04-11T19:00:00.000Z,39.515,39.57,39.505,39.53,3325.0
2022-04-11T19:10:00.000Z,39.535,39.565,39.455,39.46,6458.0
2022-04-11T19:20:00.000Z,39.455,39.46,39.385,39.415,11891.0
2022-04-11T19:30:00.000Z,39.42,39.425,39.345,39.42,5577.0
2022-04-11T19:40:00.000Z,39.42,39.505,39.405,39.435,50682.0
2022-04-11T19:50:00.000Z,39.45,39.485,39.45,39.45,43470.0
2022-04-11T20:00:00.000Z,39.45,39.45,39.45,39.45,0.0
2022-04-12T13:30:00.000Z,39.985,40.06,39.795,39.96,16726.0
2022-04-12T13:40:00.000Z,39.97,39.97,39.66,39.69,5546.0
2022-04-12T13:50:00.000Z,39.695,39.77,39.635,39.67,3144.0
2022-04-12T14:00:00.000Z,39.665,39.685,39.525,39.525,6803.0
2022-04-12T14:10:00.000Z,39.53,39.67,39.45,39.67,6608.0
2022-04-12T14:20:00.000Z,39.66,39.76,39.59,39.675,9600.0
2022-04-12T14:30:00.000Z,39.67,39.93,39.67,39.9,17357.0
2022-04-12T14:40:00.000Z,39.905,40.2,39.86,40.2,19688.0
2022-04-12T14:50:00.000Z,40.195,40.46,40.195,40.3,32222.0
2022-04-12T15:00:00.000Z,40.3,40.46,40.26,40.48,14681.0
2022-04-12T15:10:00.000Z,40.48,40.53,40.325,40.34,39420.0
2022-04-12T15:20:00.000Z,40.36,40.395,40.33,40.4,31652.0
2022-04-12T15:30:00.000Z,40.375,40.415,40.31,40.405,36105.0
2022-04-12T15:40:00.000Z,40.405,40.45,40.34,40.37,7814.0
2022-04-12T15:50:00.000Z,40.375,40.385,40.28,40.3,12672.0
2022-04-12T16:00:00.000Z,40.3,40.36,40.27,40.395,8190.0
2022-04-12T16:10:00.000Z,40.395,40.405,40.34,40.4,7321.0
2022-04-12T16:20:00.000Z,40.405,40.44,40.34,40.395,9026.0
2022-04-12T16:30:00.000Z,40.385,40.435,40.35,40.42,9326.0
2022-04-12T16:40:00.000Z,40.425,40.425,40.285,40.34,4409.0
2022-04-12T16:50:00.000Z,40.365,40.39,40.33,40.355,9002.0
2022-04-12T17:00:00.000Z,40.355,40.435,40.275,40.36,42291.0
2022-04-12T17:10:00.000Z,40.355,40.355,40.25,40.295,4666.0
2022-04-12T17:20:00.000Z,40.29,40.325,40.23,40.31,10164.0
2022-04-12T17:30:00.000Z,40.305,40.345,40.255,40.32,4451.0
2022-04-12T17:40:00.000Z,40.315,40.32,40.19,40.27,4411.0
2022-04-12T17:50:00.000Z,40.28,40.285,40.14,40.14,4559.0
2022-04-12T18:00:00.000Z,40.14,40.19,40.08,40.16,2569.0
2022-04-12T18:10:00.000Z,40.17,40.19,40.075,40.185,5480.0
2022-04-12T18:20:00.000Z,40.195,40.21,40.1,40.1,5702.0
2022-04-12T18:30:00.000Z,40.075,40.115,39.95,39.95,6520.0
2022-04-12T18:40:00.000Z,39.955,39.96,39.82,39.845,6661.0
2022-04-12T18:50:00.000Z,39.845,39.935,39.83,39.92,7148.0
2022-04-12T19:00:00.000Z,39.92,39.945,39.86,39.84,4535.0
2022-04-12T19:10:00.000Z,39.84,39.88,39.785,39.805,8955.0
2022-04-12T19:20:00.000Z,39.805,39.88,39.765,39.775,10000.0
2022-04-12T19:30:00.000Z,39.775,39.8,39.695,39.805,12142.0
2022-04-12T19:40:00.000Z,39.825,39.85,39.77,39.805,32877.0
2022-04-12T19:50:00.000Z,39.79,39.81,39.77,39.8,41505.0
2022-04-12T20:00:00.000Z,39.8,39.8,39.8,39.8,0.0
2022-04-13T13:30:00.000Z,40.245,40.39,40.21,40.33,3776.0
2022-04-13T13:40:00.000Z,40.315,40.42,39.98,40.145,9133.0
2022-04-13T13:50:00.000Z,40.15,40.395,40.135,40.35,8396.0
2022-04-13T14:00:00.000Z,40.38,40.4,40.12,40.245,16096.0
2022-04-13T14:10:00.000Z,40.245,40.285,40.12,40.125,2541.0
2022-04-13T14:20:00.000Z,40.125,40.205,40.105,40.15,32483.0
2022-04-13T14:30:00.000Z,40.155,40.32,40.04,40.31,12353.0
2022-04-13T14:40:00.000Z,40.315,40.51,40.245,40.49,16648.0
2022-04-13T14:50:00.000Z,40.49,40.6,40.485,40.58,14479.0
2022-04-13T15:00:00.000Z,40.585,40.595,40.435,40.445,35769.0
2022-04-13T15:10:00.000Z,40.445,40.535,40.44,40.52,24798.0
2022-04-13T15:20:00.000Z,40.525,40.62,40.5,40.62,8959.0
2022-04-13T15:30:00.000Z,40.625,40.66,40.57,40.63,6665.0
2022-04-13T15:40:00.000Z,40.605,40.78,40.6,40.775,11122.0
2022-04-13T15:50:00.000Z,40.77,40.795,40.695,40.765,9978.0
2022-04-13T16:00:00.000Z,40.765,40.81,40.75,40.785,8775.0
